#{"t_start": 1764628579.8160498, "env_id": "None"}
r,l,t
-1414.708157,43,10.55334
-152.03027,1,10.553759
-7442.027655,228,11.472881
-147.240481,1,11.473361
-163.548885,1,11.473757
-144.648838,1,11.474131
-145.777803,1,11.474507
-151.353016,1,11.474895
-145.1014,1,11.47527
-12234.981358,258,11.561577
-4606.795478,95,11.59372
-13012.783153,261,11.691142
-160.495019,1,11.69162
-131.168083,1,11.692074
-6297.239571,216,11.774065
-8322.400246,150,11.833472
-2126.106552,50,11.85417
-147.576013,1,11.854716
-135.062167,1,11.855338
-6463.85148,228,11.934735
-143.129332,1,11.935183
-143.284491,1,11.935556
-140.397103,1,11.936007
-12631.625762,287,12.037067
-8010.9811,203,12.110605
-149.232004,1,12.111105
-149.370575,1,12.111619
-4466.650447,129,12.161149
-144.779849,1,12.161778
-12404.529865,295,13.137721
-8727.83998,183,13.199864
-147.098568,1,13.20029
-3574.00794,86,13.230164
-7148.960504,211,13.29884
-764.585487,16,13.304795
-1648.036152,26,13.315376
-163.438336,1,13.315906
-165.009183,1,13.316332
-199.970403,2,13.317104
-21381.520817,361,13.436264
-5383.697684,130,13.479134
-3394.409397,135,13.589854
-5995.77765,217,13.680271
-153.22701,1,13.6808
-1934.036212,59,13.701703
-160.102316,1,13.706665
-128.975882,1,13.707268
-2877.719135,104,13.74986
-164.193516,1,13.750307
-141.574408,1,13.750704
-151.124529,1,13.751101
-5317.523238,163,13.811476
-7889.987978,192,14.789083
-149.380033,1,14.789571
-19566.70546,313,14.893756
-151.169295,1,14.894232
-156.834652,1,14.894643
-4133.536764,115,14.933705
-9306.173341,193,14.99911
-5454.017966,144,15.049146
-8873.670182,182,15.107229
-13123.43778,259,15.193251
-144.61887,1,15.193715
-159.253547,1,15.194106
-17865.412496,378,15.596184
-11218.505755,236,15.671322
-139.774418,1,15.671754
-133.555418,1,15.672133
-140.95239,1,15.672809
-18236.736463,412,16.723969
-3761.870943,220,16.827961
-23359.990003,329,16.959945
-149.966299,1,16.960864
-7744.742439,223,17.074227
-3900.707948,116,17.116214
-144.82769,1,17.116672
-4041.939528,75,17.141469
-11995.352442,252,17.228133
-149.840856,1,17.229183
-16040.314541,311,17.344572
-132.278586,1,17.345222
-6467.308027,125,17.38998
-7480.28055,205,18.485823
-6970.636495,297,18.589764
-148.599499,1,18.590201
-150.689066,1,18.590576
-143.104207,1,18.590951
-156.383057,1,18.591355
-163.853238,1,18.591802
-14216.400381,249,18.69109
-138.588252,1,18.691549
-10161.87962,279,18.786084
-153.896054,1,18.786527
-3324.410643,164,18.841817
-159.417346,1,18.842218
-642.877358,15,18.847072
-161.067686,1,18.847474
-1847.839286,52,18.864394
-3831.685771,214,18.938208
-159.004958,1,18.938717
-150.797726,1,18.93912
-345.427405,6,18.941751
-165.020429,1,18.94223
-9636.764507,188,19.015075
-144.526752,1,19.01554
-155.418638,1,19.015938
-9957.600295,288,19.120734
-7132.4786,170,20.198571
-6570.848499,223,20.26845
-3069.031309,142,20.312493
-4129.199085,120,20.350061
-149.788604,1,20.350498
-146.561078,1,20.350875
-5816.373005,239,20.4318
-140.180577,1,20.432288
-3232.448415,177,20.492664
-162.272509,1,20.493136
-11726.992283,244,20.575252
-140.576071,1,20.575777
-162.532184,1,20.576186
-2463.183157,67,20.601974
-7619.634763,234,20.68058
-137.268171,1,20.681147
-2589.693989,95,20.713136
-148.003815,1,20.713611
-161.22292,1,20.714099
-158.172848,1,20.714824
-158.852945,1,20.715241
-130.04905,1,20.715659
-140.478805,1,20.716032
-4192.269775,84,20.743411
-7782.640423,145,20.788606
-14842.449216,407,21.773142
-134.389881,1,21.773633
-148.569623,1,21.774033
-7957.953423,283,21.865694
-8763.483342,236,21.951291
-151.767581,1,21.951762
-7011.707586,155,22.010373
-127.036372,1,22.010971
-144.560148,1,22.011544
-164.391125,1,22.012093
-5026.183231,104,22.049874
-142.534884,1,22.050365
-10249.636345,211,22.125414
-153.800411,1,22.12588
-140.802819,1,22.126261
-165.508489,1,22.126639
-155.022817,1,22.127026
-4365.511636,104,22.160448
-7822.129587,224,22.234043
-148.92918,1,22.234553
-1575.542892,30,22.244039
-135.058012,1,22.244475
-11869.254981,268,22.332227
-7789.204937,177,22.390122
-4724.268372,114,23.317506
-4943.882678,107,23.365161
-1136.932517,30,23.374995
-140.713988,1,23.375451
-4883.321719,209,23.450655
-1593.035524,42,23.465615
-157.85604,1,23.466033
-2608.046842,76,23.492383
-138.200729,1,23.492796
-5890.200496,211,23.567221
-4644.398942,87,23.598215
-148.967312,1,23.598695
-4681.25343,90,23.629252
-132.44405,1,23.629709
-13024.378422,351,23.765903
-149.359238,1,23.766477
-10748.700472,247,23.861882
-138.754744,1,23.862346
-142.221228,1,23.862726
-136.517643,1,23.863111
-157.279307,1,23.863495
-152.812278,1,23.863859
-6134.941409,284,23.962308
-5378.613609,117,24.001749
-23257.738639,355,25.13588
-21307.212361,342,25.254978
-11988.600833,286,25.350917
-141.435027,1,25.351362
-149.280083,1,25.351744
-141.293207,1,25.352122
-157.694625,1,25.352487
-10456.889235,199,25.418727
-154.344892,1,25.419213
-158.92759,1,25.419606
-146.764711,1,25.419984
-145.719931,1,25.420372
-19717.557082,355,25.540907
-149.044515,1,25.541368
-20638.219145,399,25.667724
-156.879412,1,25.66816
-128.648559,1,25.668532
-141.463302,1,25.668906
-6299.990033,250,26.712507
-16529.983587,293,26.815968
-13800.283334,261,26.910398
-155.223732,1,26.911699
-143.139828,1,26.912329
-3109.489949,60,26.939553
-162.145318,1,26.939992
-4467.049458,261,27.029181
-144.885657,1,27.029733
-10629.595843,272,27.118516
-147.814603,1,27.118987
-144.347724,1,27.119376
-5462.174228,127,27.158968
-8771.570413,283,27.246908
-160.847866,1,27.247363
-8975.244353,260,27.330636
-142.13526,1,27.331096
-144.865782,1,27.331481
-2167.978298,57,27.351713
-5179.615467,216,28.286879
-7810.255453,280,28.386415
-6111.960253,195,28.454906
-6377.443261,160,28.514921
-134.313441,1,28.51551
-128.207903,1,28.515963
-6447.648034,183,28.583969
-129.441535,1,28.584531
-5229.635514,161,28.645856
-142.146788,1,28.646303
-3982.216692,134,28.695466
-3107.463696,161,28.748994
-3181.232619,78,28.775695
-343.438523,8,28.778464
-150.804369,1,28.778913
-8374.586783,259,28.870431
-2265.239306,62,28.892912
-146.504396,1,28.89335
-159.978416,1,28.893745
-152.451539,1,28.894128
-8627.707535,196,28.961404
-6070.289095,126,29.899349
-158.365588,1,29.899792
-6044.557007,163,29.953318
-22592.939055,363,30.075059
-3950.200861,112,30.110538
-157.697539,1,30.110988
-153.602797,1,30.111371
-5778.414836,277,30.207425
-145.790626,1,30.207891
-12661.479137,222,30.277582
-157.378208,1,30.278034
-9802.285642,244,30.355792
-152.579168,1,30.356237
-138.277893,1,30.35661
-161.890739,1,30.356984
-160.125222,1,30.357351
-6579.597508,118,30.412334
-144.964489,1,30.412827
-163.836934,1,30.413234
-163.252522,1,30.413658
-10104.671287,210,30.491342
-1461.70619,35,30.503698
-157.17101,1,30.504137
-3454.836136,181,30.563596
-6864.422591,118,31.461047
-9574.915716,219,31.535671
-165.639163,1,31.536122
-163.698393,1,31.536506
-1552.531566,45,31.551698
-155.078592,1,31.552145
-143.13485,1,31.552534
-163.901044,1,31.552916
-133.499512,1,31.553289
-143.481147,1,31.553652
-141.9674,1,31.554017
-15648.693804,287,31.650352
-157.640872,1,31.650777
-3850.197222,70,31.677329
-137.993626,1,31.677728
-3835.757498,119,31.716052
-2525.29694,70,31.737917
-3371.100601,145,31.786875
-158.630057,1,31.787319
-5968.427288,107,32.068829
-5071.060693,125,32.115102
-6777.986236,141,32.160312
-9048.74993,203,32.233112
-5214.916972,269,32.322256
-149.296152,1,32.322729
-3896.549432,80,32.348017
-141.322115,1,32.348454
-2430.716713,88,32.376719
-3958.936238,105,33.372918
-14839.960402,311,33.475731
-12418.677218,221,33.546284
-149.651592,1,33.546741
-146.902886,1,33.547125
-135.897973,1,33.547499
-162.47565,1,33.547872
-137.224575,1,33.548238
-5948.647003,231,33.620856
-161.344344,1,33.621307
-133.772024,1,33.621682
-135.587554,1,33.622056
-151.060561,1,33.622464
-160.462842,1,33.622842
-146.772398,1,33.623215
-163.259803,1,33.623604
-5585.697315,189,33.682724
-160.918165,1,33.683174
-145.066473,1,33.683563
-142.291629,1,33.683946
-131.930728,1,33.684319
-160.033839,1,33.684697
-165.242891,1,33.685063
-4393.34995,89,33.712971
-137.123056,1,33.713413
-758.427149,19,33.719848
-3210.310648,72,33.742526
-5937.658172,126,33.782361
-4840.986467,223,33.851864
-134.698753,1,33.852316
-8888.765242,283,33.940084
-161.605342,1,33.940518
-4814.465577,294,34.880635
-168.170894,1,34.881095
-5960.93982,144,34.927033
-2354.349882,75,34.952689
-4840.127166,178,35.009113
-142.3591,1,35.009575
-143.150264,1,35.009945
-136.526537,1,35.010313
-141.427039,1,35.010687
-12245.318016,223,35.083306
-4810.116351,216,35.164836
-7088.19062,224,35.252601
-1406.910475,49,35.274344
-143.94667,1,35.274833
-4944.818251,156,35.33096
-4188.369956,151,35.38427
-23335.327018,314,35.489749
-133.534225,1,35.490221
-133.869794,1,35.490616
-150.743318,1,35.491809
-144.164782,1,35.492284
-14048.207075,276,36.57241
-139.563056,1,36.573016
-155.858091,1,36.573453
-6285.858842,152,36.634431
-159.527837,1,36.634928
-7971.970101,153,36.690505
-144.538453,1,36.690969
-964.292092,28,36.699926
-150.004028,1,36.700332
-159.714522,1,36.700718
-142.144355,1,36.701102
-5674.565992,177,36.762953
-11975.125926,349,36.913656
-142.909994,1,36.914578
-152.641442,1,36.915185
-133.373874,1,36.916023
-17538.186104,319,37.051
-147.316746,1,37.051547
-143.577646,1,37.052024
-12724.870582,248,37.148545
-156.033758,1,37.1506
-132.602894,1,37.151101
-12246.629695,224,37.232976
-11016.232885,220,37.309671
-145.475698,1,37.310164
-152.334899,1,37.310579
-152.678054,1,37.310988
-7274.75013,284,38.267084
-140.86661,1,38.267557
-5744.644792,190,38.32831
-5697.173408,228,38.39927
-9244.317176,277,38.490925
-131.581996,1,38.491388
-12227.338936,231,38.568484
-147.910182,1,38.568945
-2208.826154,59,38.58753
-140.58529,1,38.587943
-9375.191679,227,38.661878
-7195.73813,186,38.721571
-152.797693,1,38.722107
-159.611613,1,38.72252
-141.31352,1,38.72293
-162.397385,1,38.723319
-17462.012318,347,38.832724
-146.876599,1,38.833197
-8873.649231,235,39.844413
-8887.784865,227,39.919412
-141.704036,1,39.919886
-136.769076,1,39.920274
-3439.18971,249,40.002479
-155.073757,1,40.002997
-7726.806673,192,40.065466
-12044.383957,232,40.142927
-10201.580293,242,40.223651
-143.832568,1,40.224126
-9772.696708,251,40.308085
-15741.413255,253,40.390018
-5426.908624,204,40.457431
-7693.160981,178,41.434141
-27414.945478,386,41.567631
-148.084995,1,41.568086
-142.388864,1,41.568468
-155.635378,1,41.569259
-4966.471974,180,41.631038
-149.37644,1,41.631489
-158.403008,1,41.631881
-9195.095726,168,41.693255
-7618.255413,151,41.743131
-148.825063,1,41.743606
-149.624827,1,41.74399
-144.469259,1,41.744364
-160.320395,1,41.744752
-19092.011451,302,41.846005
-7926.07285,187,41.909334
-157.601475,1,41.909807
-15516.315472,276,41.999691
-156.846286,1,42.000138
-3296.456054,252,42.082232
-162.513893,1,42.082771
-153.404741,1,42.083173
-154.247398,1,42.083568
-139.786927,1,42.083949
-139.985935,1,42.084331
-9787.707791,236,43.024379
-6153.524145,169,43.087144
-7545.136742,135,43.132068
-137.851584,1,43.132515
-135.190888,1,43.132891
-5560.995522,187,43.199406
-141.854217,1,43.199878
-157.650654,1,43.200274
-523.693897,14,43.204854
-136.868925,1,43.205269
-7598.581234,226,43.286172
-147.535751,1,43.286638
-139.624821,1,43.287679
-166.704381,1,43.288289
-158.063596,1,43.288901
-142.647937,1,43.289342
-138.647908,1,43.289744
-4062.930239,81,43.317486
-143.892844,1,43.318416
-6535.384351,176,43.387558
-153.753241,1,43.388101
-141.677033,1,43.388597
-13652.918127,318,43.50684
-141.797683,1,43.507288
-137.317547,1,43.507672
-707.229917,17,43.513029
-14827.860741,254,43.60149
-152.421296,1,43.601965
-142.721925,1,43.602365
-6702.530602,174,43.660129
-7807.497781,275,44.721174
-8752.246137,248,44.807306
-144.096881,1,44.807752
-11148.373768,290,44.910029
-14010.85471,352,45.028885
-6806.228942,228,45.108885
-3469.793044,64,45.13577
-151.177852,1,45.136225
-496.245615,10,45.139513
-153.361258,1,45.13993
-9752.738135,252,45.235737
-156.918844,1,45.236196
-159.451327,1,45.236707
-139.600034,1,45.237155
-133.019435,1,45.237538
-11059.172523,217,45.314971
-4622.935368,146,45.368279
-12155.865345,221,46.671913
-138.453989,1,46.672562
-144.083037,1,46.672986
-11320.99031,289,46.77468
-13085.395032,241,46.856814
-5213.402209,137,46.907446
-141.260022,1,46.908312
-4677.683609,222,46.987249
-354.400129,5,46.98986
-147.481163,1,46.990658
-140.604286,1,46.991223
-7256.277396,206,47.068577
-143.355192,1,47.069057
-137.288029,1,47.069467
-146.117538,1,47.071145
-148.287374,1,47.07217
-139.396058,1,47.073141
-160.948788,1,47.073995
-145.601919,1,47.074623
-5194.220374,110,47.116916
-13823.123661,318,47.229662
-15969.088246,284,47.329868
-157.65196,1,47.330349
-137.987511,1,47.331067
-8024.684929,262,48.409728
-160.391532,1,48.410197
-7857.457244,204,48.482759
-151.600281,1,48.483207
-157.869457,1,48.483648
-145.120338,1,48.484046
-159.806301,1,48.484408
-140.599898,1,48.484779
-130.111924,1,48.485143
-7672.519788,170,48.640331
-160.712038,1,48.640788
-139.838876,1,48.641168
-7578.864815,168,48.701575
-153.21843,1,48.7022
-9827.718731,254,48.79636
-13029.516728,346,48.918413
-4755.748872,176,48.991474
-157.830689,1,48.992718
-5663.472531,156,49.056215
-149.259309,1,49.056776
-149.124658,1,49.057226
-155.294636,1,49.057621
-15392.991539,312,49.188088
-142.978754,1,49.18854
-158.48657,1,49.188968
-135.708554,1,49.189401
-11364.354185,217,50.408277
-6663.781458,132,50.456099
-4365.088203,156,50.512356
-7277.431787,153,50.566861
-153.450764,1,50.567316
-2085.832626,48,50.583015
-13958.721967,292,50.685799
-18906.066286,349,50.81453
-141.789611,1,50.815438
-8431.145902,257,50.909423
-5127.808848,195,50.978434
-5520.228167,150,51.031347
-13038.224695,219,52.099604
-140.265555,1,52.100068
-136.892421,1,52.100477
-146.813194,1,52.100859
-163.140272,1,52.101265
-134.337281,1,52.101647
-15630.869529,315,52.209821
-156.057102,1,52.21056
-138.007631,1,52.211027
-147.552116,1,52.211429
-13508.626894,339,52.328555
-2253.393411,68,52.351796
-131.492769,1,52.352209
-139.458714,1,52.352618
-147.886007,1,52.353002
-140.815682,1,52.353386
-2644.224117,76,52.379923
-149.706035,1,52.380381
-139.827835,1,52.380774
-4493.379008,148,52.430709
-8819.601956,307,52.541421
-12786.060502,322,52.665416
-146.349921,1,52.666005
-145.209021,1,52.666426
-4495.897458,154,52.721088
-13118.039895,238,53.84643
-8607.69238,201,53.919169
-9685.485056,245,54.002085
-4428.819793,170,54.062317
-156.300189,1,54.062851
-12319.142502,284,54.17084
-143.781682,1,54.171448
-16162.819591,385,54.322407
-136.824366,1,54.322958
-6594.64768,209,54.397706
-4659.895136,137,54.449871
-7584.25094,156,54.504022
-156.225457,1,54.504479
-5712.710364,105,54.551973
-139.246779,1,54.552749
-147.313216,1,54.553228
-11566.8882,419,55.675732
-11729.22666,339,55.792031
-137.116641,1,55.792474
-4955.188272,178,55.852354
-12691.644684,402,55.987403
-11684.15722,407,56.147396
-143.461637,1,56.148008
-15173.231932,313,56.254897
-143.040265,1,56.255355
-162.284742,1,56.255738
-161.447049,1,56.256118
-136.431245,1,56.256494
-1542.187498,31,56.267368
-8695.568441,248,57.361971
-159.427066,1,57.362447
-160.525833,1,57.362839
-157.800508,1,57.363213
-147.548713,1,57.363715
-150.628706,1,57.364193
-145.231047,1,57.364579
-10137.603133,277,57.462172
-12168.811985,247,57.549253
-11279.284627,233,57.685202
-132.32367,1,57.686014
-13097.403493,284,57.841693
-10936.402053,375,57.974779
-7602.998291,227,58.069695
-1425.413028,24,58.078502
-140.396724,1,58.079313
-157.325554,1,58.079918
-8764.492053,162,58.138107
-162.723316,1,58.14061
-143.350983,1,58.141239
-5925.339099,253,59.23787
-161.149812,1,59.238343
-3451.088743,83,59.267106
-141.593144,1,59.267568
-10906.509948,271,59.360874
-156.356383,1,59.361312
-160.534681,1,59.361698
-150.723242,1,59.362103
-146.939205,1,59.362476
-10874.670614,198,59.433059
-132.756378,1,59.43354
-161.899528,1,59.433955
-129.358012,1,59.434354
-150.195384,1,59.434747
-144.29593,1,59.435136
-155.163262,1,59.435529
-142.895916,1,59.43592
-154.693067,1,59.436328
-144.799194,1,59.436711
-1353.99518,38,59.450286
-154.657389,1,59.450736
-8839.28117,273,59.544176
-154.77534,1,59.544635
-6300.083701,174,59.603407
-155.535589,1,59.604145
-6633.785492,131,59.648446
-10741.082543,252,59.737564
-10318.577014,227,59.812525
-150.014358,1,59.812979
-152.851288,1,59.813359
-159.249054,1,59.813738
-150.668055,1,59.814155
-143.127107,1,59.814545
-158.349747,1,59.814922
-10971.617047,242,60.859353
-164.954002,1,60.859842
-4769.83772,240,60.947581
-150.054946,1,60.948042
-143.009021,1,60.948887
-6936.492105,143,61.001534
-134.665498,1,61.002045
-9429.775566,196,61.069717
-160.896335,1,61.070162
-137.718992,1,61.070534
-159.392022,1,61.070975
-134.238014,1,61.0718
-158.820918,1,61.072496
-24680.331255,377,61.198212
-12262.179353,212,61.277571
-140.655117,1,61.278068
-147.168865,1,61.278494
-9345.240088,360,61.41519
-144.999613,1,61.415673
-8482.901751,183,61.529013
-3261.306059,62,61.562054
-144.783016,1,61.56255
-5453.100661,171,62.641788
-5539.339346,116,62.682098
-144.145307,1,62.682547
-6997.133084,133,62.72876
-4434.594901,152,62.779872
-149.670279,1,62.780528
-11263.122479,235,62.861549
-156.839381,1,62.862023
-3957.966755,162,62.923578
-4970.698161,183,62.987477
-156.809727,1,62.987968
-7313.22405,222,63.066493
-143.645622,1,63.066951
-8119.807934,294,63.169454
-135.096636,1,63.169902
-5720.545279,131,63.216401
-153.809101,1,63.216951
-151.29326,1,63.217357
-6210.592742,298,63.315669
-154.240138,1,63.316111
-160.371709,1,63.316497
-144.103178,1,63.316866
-161.745609,1,63.317242
-149.416266,1,63.317608
-5010.522474,211,64.384577
-141.364925,1,64.385088
-8990.105028,173,64.445272
-3338.436697,152,64.498523
-153.895578,1,64.499007
-2275.114486,79,64.527092
-151.745315,1,64.527543
-160.237194,1,64.52793
-857.956217,22,64.535272
-143.039781,1,64.535674
-3320.824007,116,64.576709
-145.521879,1,64.577154
-163.779909,1,64.577532
-137.222381,1,64.577904
-2864.247938,91,64.610125
-741.654691,14,64.614661
-156.277011,1,64.615061
-162.623896,1,64.615451
-138.925296,1,64.615854
-150.954618,1,64.616663
-13171.512037,282,64.714909
-146.601677,1,64.715362
-12106.662397,269,64.804942
-3497.628692,92,64.836347
-143.014701,1,64.837375
-162.923692,1,64.837968
-142.881598,1,64.838485
-7747.607595,156,64.890054
-5389.871695,113,64.928327
-4142.130465,79,64.954141
-4562.82177,90,64.984619
-11877.449082,251,66.057703
-135.915356,1,66.058261
-6590.492695,157,66.392673
-166.442319,1,66.393132
-134.405343,1,66.39353
-161.050692,1,66.393913
-3990.417223,75,66.422728
-151.261208,1,66.423347
-137.749094,1,66.423806
-8618.961511,205,66.498267
-1106.603466,25,66.506843
-6592.908,222,66.585254
-2375.988489,40,66.60169
-7992.638043,169,66.660552
-151.946159,1,66.661013
-157.920149,1,66.661395
-5773.803174,267,66.754193
-6625.376206,169,66.814026
-144.445107,1,66.81453
-138.430127,1,66.814942
-14287.411197,236,66.897439
-141.421062,1,66.898028
-142.468365,1,66.898502
-148.612669,1,66.8989
-147.561879,1,66.89928
-158.566457,1,66.899667
-150.119699,1,66.900045
-4000.320223,132,66.947286
-8991.269304,174,67.006913
-139.695209,1,67.007432
-152.700678,1,67.007852
-140.449344,1,67.008239
-4445.240515,105,68.002204
-11817.848634,231,68.08454
-5637.239972,186,68.158251
-21900.771417,380,68.292147
-6501.988586,132,68.335656
-145.327962,1,68.336078
-148.000559,1,68.336464
-155.496209,1,68.336869
-155.118865,1,68.337247
-3543.061078,132,68.383539
-148.317985,1,68.383999
-152.841749,1,68.384382
-5806.720005,156,68.436474
-148.862221,1,68.436961
-165.440132,1,68.437379
-138.664565,1,68.43775
-142.90539,1,68.438129
-144.417955,1,68.438506
-150.384501,1,68.438876
-143.656494,1,68.43929
-142.273024,1,68.43968
-148.447174,1,68.440048
-280.449403,3,68.441796
-136.566502,1,68.442284
-139.996691,1,68.442693
-138.292756,1,68.443082
-141.247554,1,68.443471
-151.867136,1,68.443854
-5363.124612,183,68.515383
-158.314155,1,68.515944
-3627.415745,80,68.545542
-156.181284,1,68.546025
-15257.409261,239,68.650105
-157.04106,1,68.650617
-4495.440491,215,68.745773
-164.778646,1,68.746226
-164.643674,1,68.746614
-146.081954,1,68.747122
-154.95383,1,68.748063
-10702.749498,222,69.777497
-164.502814,1,69.779072
-127.339292,1,69.779686
-137.792775,1,69.780415
-158.936681,1,69.780939
-10700.032648,237,69.861799
-142.903837,1,69.862243
-129.053822,1,69.862621
-13092.946368,277,69.954253
-7703.228025,206,70.025013
-153.595921,1,70.025492
-8754.880689,159,70.078992
-8217.475619,185,70.142014
-153.003163,1,70.142529
-159.507733,1,70.142974
-142.757756,1,70.143384
-143.990557,1,70.143771
-4753.756148,199,70.221793
-143.451869,1,70.222887
-6017.630679,291,70.340585
-142.920475,1,70.341117
-162.931573,1,70.341557
-155.20746,1,70.341971
-4593.487936,82,70.371305
-9837.162498,193,70.441915
-6256.880297,209,71.533249
-145.401379,1,71.533825
-12780.813182,219,71.624984
-9425.788324,261,71.767077
-139.286725,1,71.76758
-161.008162,1,71.767989
-12084.631633,232,71.897959
-7398.444555,212,71.97947
-5151.010363,216,72.057525
-140.361146,1,72.057993
-7283.647159,198,72.13842
-13745.176491,471,72.319239
-11998.035625,190,73.453158
-160.211752,1,73.453599
-142.152728,1,73.453991
-4715.912486,211,73.526735
-144.749486,1,73.527687
-1626.213742,45,73.545856
-151.846058,1,73.546321
-9200.008196,335,73.707243
-156.188786,1,73.716664
-143.228888,1,73.724011
-162.913961,1,73.732096
-1091.90784,34,73.745371
-13225.348246,237,73.848849
-11000.149992,279,73.977531
-161.885859,1,73.978007
-142.104709,1,73.978391
-138.938188,1,73.978778
-137.95584,1,73.979161
-2068.981319,48,74.000547
-162.569865,1,74.001045
-142.538042,1,74.001487
-162.456679,1,74.001928
-162.080133,1,74.002339
-142.815957,1,74.002727
-141.60029,1,74.003114
-153.810843,1,74.003508
-141.470464,1,74.003901
-142.157055,1,74.004535
-144.671749,1,74.005412
-10297.783831,264,74.128928
-132.277077,1,74.129414
-152.634532,1,74.129806
-156.709459,1,74.130209
-146.081141,1,74.130643
-4623.514919,132,74.177607
-1712.746786,37,74.193574
-139.204665,1,74.194053
-7403.456253,141,74.244877
-4466.48803,219,75.275488
-4406.133322,87,75.309085
-155.525756,1,75.309687
-143.026949,1,75.310146
-145.948686,1,75.310527
-160.552116,1,75.310909
-1736.436669,42,75.325656
-161.225724,1,75.326081
-135.167375,1,75.326504
-150.624731,1,75.326874
-12799.534083,471,75.519354
-3058.254708,56,75.546629
-939.763569,22,75.560937
